ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,normalized_rating,normalized_price,Taste,Quality
1061,kothapet & dilsukhnagar,hyderabad,aradhya chinese fast food center,300,2.9,80,chinese,kothapet & dilsukhnagar,61,0.58,0.176470588,4.7,3.7
1062,himayath nagar,hyderabad,kwality wall s frozen dessert & ice cream shop,200,2.9,80,"ice cream,desserts",himayath nagar,36,0.58,0.117647059,5,4.8
1063,uppal,hyderabad,saarangi restaurant,590,2.9,80,south indian  north indian,uppal,65,0.58,0.347058824,4.4,4.1
1064,banjara hills,hyderabad,punjab national hotel,800,2.9,80,"punjabi,north indian",banjara hills,77,0.58,0.470588235,3.5,4.3
1065,mehdipatnam,hyderabad,ajooba food court,250,2.9,80,"chinese,sweets,beverages",mehdipatnam,53,0.58,0.147058824,3.6,2.7
1066,himayath nagar,hyderabad,look at me,338,2.9,80,"pizzas,snacks,beverages",himayath nagar,33,0.58,0.198823529,4.3,3.2
1067,uppal,hyderabad,taj bakery,200,2.9,80,bakery,uppal,54,0.58,0.117647059,3.1,5
1068,himayath nagar,hyderabad,agra sweet house,180,2.9,80,"sweets,snacks",himayath nagar,43,0.58,0.105882353,2.8,3.9
1069,himayath nagar,hyderabad,rayees shawarma & momos,200,2.9,80,"lebanese,chinese",himayath nagar,34,0.58,0.117647059,3.4,4.5
1070,himayath nagar,hyderabad,kalyug kitchen,250,2.9,80,south indian,himayath nagar,38,0.58,0.147058824,3.2,2.6
1071,nallakunta & vidyanagar,hyderabad,that idly place,150,2.9,80,"south indian,indian,snacks",nallakunta & vidyanagar,44,0.58,0.088235294,3.2,2.7
1072,himayath nagar,hyderabad,new sangam hotel,230,2.9,80,"north indian,indian,chinese,snacks",himayath nagar,33,0.58,0.135294118,3.1,2.8
1073,himayath nagar,hyderabad,sandwich fun,200,2.9,80,"pizzas,snacks",himayath nagar,39,0.58,0.117647059,2.6,2.5
1074,himayath nagar,hyderabad,bake and beans,400,2.9,80,"snacks,american,pizzas,pastas,beverages",himayath nagar,36,0.58,0.235294118,2.5,4.8
1075,himayath nagar,hyderabad,silver spoon,160,2.9,80,snacks  combo,himayath nagar,37,0.58,0.094117647,5,3.1
